Area,Sale Price,#Beds,#FBaths,SqFt LA,Pool YN,Waterfront Property (Y/N)
3113,5000000,0.4166666666666670,0.3333333333333330,0.20036438381762100,1,1
41,2680000,0.3333333333333330,0.26666666666666700,0.1145473231804170,1,0
60,700000,0.3333333333333330,0.2,0.09002148930206480,0,0
60,700000,0.3333333333333330,0.2,0.09002148930206480,0,0
22,4500000,0.4166666666666670,0.3333333333333330,0.17032607680089700,1,1
32,21000000,0.4166666666666670,0.3333333333333330,0.31094085770344800,1,1
22,4382479,0.5,0.4666666666666670,0.26646734560403600,1,1
32,7100000,0.5,0.4,0.24058675137811800,1,0
42,6225000,0.5,0.4,0.18592917873493400,1,0
22,5450000,0.5833333333333330,0.4666666666666670,0.24684667850135500,1,1
42,32000000,0.5833333333333330,0.4666666666666670,0.5223301877978140,1,1
51,12350000,0.5833333333333330,0.4,0.32304026908343500,1,0
51,21000000,0.5833333333333330,0.4666666666666670,0.6201065121928430,1,0
5420,460000,0.3333333333333330,0.13333333333333300,0.06955993646641130,0,0
22,330000,0.16666666666666700,0.06666666666666670,0.04503410258805940,1,0
5280,280000,0.16666666666666700,0.13333333333333300,0.04746332803886760,0,0
5620,359000,0.25,0.13333333333333300,0.04961225824535180,0,0
5220,275000,0.16666666666666700,0.13333333333333300,0.052648790058862,0,0
4320,390000,0.25,0.13333333333333300,0.05587218536858830,0,0
5460,450000,0.25,0.13333333333333300,0.05596561711669630,0,0
4320,425000,0.25,0.13333333333333300,0.05605904886480430,0,0
5420,391500,0.25,0.13333333333333300,0.05685321872372230,0,0
5420,465000,0.25,0.06666666666666670,0.05722694571615440,0,0
4220,445000,0.25,0.13333333333333300,0.05764738858264040,0,0
5410,398750,0.25,0.13333333333333300,0.0579276838269644,0,0
4330,420000,0.25,0.13333333333333300,0.0591890124264225,0,1
5280,319000,0.25,0.13333333333333300,0.05960945529290850,0,0
5630,399000,0.25,0.13333333333333300,0.05960945529290850,0,0
5630,400000,0.25,0.13333333333333300,0.05960945529290850,0,0
4330,379900,0.25,0.13333333333333300,0.06073063627020460,0,0
4330,400000,0.25,0.13333333333333300,0.06073063627020460,0,0
5420,405000,0.25,0.13333333333333300,0.06138465850696070,0,0
5620,427000,0.25,0.13333333333333300,0.06138465850696070,0,0
5620,400000,0.25,0.13333333333333300,0.06292628235074280,0,0
6312,400000,0.25,0.13333333333333300,0.06292628235074280,0,0
5420,525000,0.25,0.13333333333333300,0.06297299822479680,0,0
5620,410000,0.25,0.13333333333333300,0.0632065775950668,0,0
4320,412000,0.25,0.13333333333333300,0.06334672521722880,0,0
4320,419000,0.25,0.13333333333333300,0.06334672521722880,0,0
4320,440000,0.25,0.13333333333333300,0.06334672521722880,0,0
5610,545000,0.25,0.13333333333333300,0.06362702046155280,0,0
5620,400000,0.25,0.13333333333333300,0.06456133794263290,0,0
5640,430000,0.25,0.13333333333333300,0.06479491731290290,0,0
5640,430000,0.25,0.13333333333333300,0.06479491731290290,0,0
4420,435314,0.25,0.13333333333333300,0.06521536017938900,0,0
5230,135000,0.25,0.13333333333333300,0.06540222367560500,0,0
5620,415000,0.25,0.13333333333333300,0.06652340465290110,0,0
5460,485000,0.25,0.13333333333333300,0.06689713164533310,0,0
5460,485000,0.25,0.13333333333333300,0.06689713164533310,0,0
5620,500000,0.25,0.13333333333333300,0.06689713164533310,0,0
5420,417000,0.25,0.13333333333333300,0.06759786975614310,0,0
5420,410000,0.25,0.13333333333333300,0.06923292534803330,0,0
4470,625000,0.25,0.13333333333333300,0.06932635709614130,0,0
5420,415000,0.25,0.2,0.06951322059235730,0,0
4470,655000,0.3333333333333330,0.13333333333333300,0.0697467999626273,0,0
4460,750000,0.25,0.13333333333333300,0.07030739045127540,1,0
4480,640000,0.25,0.2,0.07054096982154540,0,0
4320,459000,0.25,0.13333333333333300,0.07124170793235540,0,0
5420,485000,0.3333333333333330,0.13333333333333300,0.07161543492478750,0,0
4330,420000,0.25,0.13333333333333300,0.07184901429505750,0,0
5430,532500,0.25,0.13333333333333300,0.07278333177613750,0,0
4480,811000,0.25,0.13333333333333300,0.07334392226478560,0,0
5640,470000,0.3333333333333330,0.13333333333333300,0.07423152387181160,0,0
5620,484000,0.25,0.13333333333333300,0.07437167149397370,0,0
5640,445000,0.25,0.13333333333333300,0.07460525086424370,0,0
4420,489794,0.25,0.13333333333333300,0.07525927310099970,0,0
4420,489900,0.25,0.13333333333333300,0.07525927310099970,0,0
4420,539616,0.25,0.13333333333333300,0.07525927310099970,0,0
5280,409000,0.4166666666666670,0.13333333333333300,0.07661403344856580,0,0
5280,415000,0.4166666666666670,0.13333333333333300,0.07661403344856580,0,0
5280,414000,0.4166666666666670,0.13333333333333300,0.07661403344856580,0,0
5280,419000,0.4166666666666670,0.13333333333333300,0.07661403344856580,0,0
5420,380000,0.4166666666666670,0.13333333333333300,0.07661403344856580,0,0
3212,915000,0.25,0.13333333333333300,0.07698776044099790,1,0
5280,382194,0.4166666666666670,0.13333333333333300,0.07712790806315990,0,0
5280,420000,0.3333333333333330,0.13333333333333300,0.07736148743342990,0,0
5420,900000,0.25,0.13333333333333300,0.07829580491451000,1,0
5420,445000,0.4166666666666670,0.13333333333333300,0.07876296365505000,0,0
60,481000,0.25,0.13333333333333300,0.07965056526207610,0,0
3010,850000,0.3333333333333330,0.2,0.07969728113613010,1,0
5420,450000,0.25,0.13333333333333300,0.07993086050640010,0,0
5002,5275000,0.25,0.13333333333333300,0.08240680183126230,0,0
5420,395000,0.4166666666666670,0.13333333333333300,0.08296739231991030,0,0
5420,460000,0.4166666666666670,0.13333333333333300,0.08296739231991030,0,0
4350,615000,0.3333333333333330,0.13333333333333300,0.08329440343828830,0,0
5280,395000,0.3333333333333330,0.13333333333333300,0.08348126693450440,0,0
60,540000,0.3333333333333330,0.13333333333333300,0.08362141455666640,0,0
60,540000,0.3333333333333330,0.13333333333333300,0.08362141455666640,0,0
5790,664615,0.3333333333333330,0.13333333333333300,0.08408857329720640,0,0
60,518000,0.3333333333333330,0.2,0.08483602728207040,0,0
5600,900000,0.25,0.13333333333333300,0.08623750350369060,0,0
4350,400000,0.25,0.13333333333333300,0.0882462860880127,0,0
4340,499000,0.3333333333333330,0.13333333333333300,0.09156311314584700,0,0
5270,679900,0.25,0.13333333333333300,0.09249743062692700,0,0
5620,550000,0.25,0.13333333333333300,0.09422591796692520,0,0
5410,1000000,0.25,0.2,0.09459964495935720,1,1
5410,1260000,0.25,0.2,0.09459964495935720,1,1
5410,722000,0.3333333333333330,0.2,0.09478650845557320,0,0
5420,525000,0.25,0.2,0.09553396244043730,0,0
5420,515000,0.3333333333333330,0.2,0.09553396244043730,0,0
5410,815000,0.25,0.13333333333333300,0.09623470055124730,0,1
5600,1170000,0.3333333333333330,0.2,0.09941137998691960,1,0
5430,1887500,0.3333333333333330,0.2,0.1000186863496220,1,0
4480,1066857,0.3333333333333330,0.2,0.10146687844529600,1,0
60,780000,0.3333333333333330,0.26666666666666700,0.10184060543772800,0,0
3341,1800000,0.25,0.13333333333333300,0.10370924039988800,1,1
4220,1890000,0.25,0.2,0.10473698962907600,1,0
3020,1045000,0.25,0.13333333333333300,0.10539101186583200,0,0
3020,1099000,0.25,0.13333333333333300,0.10539101186583200,0,0
3020,1175000,0.25,0.13333333333333300,0.10539101186583200,0,0
5440,1775000,0.3333333333333330,0.2,0.10777352144258600,1,0
5440,2425000,0.3333333333333330,0.2,0.10777352144258600,1,0
4260,1150000,0.25,0.2,0.11104363262636600,1,0
60,599000,0.3333333333333330,0.13333333333333300,0.1119312342333930,0,0
5430,2175000,0.3333333333333330,0.26666666666666700,0.11230496122582500,1,0
3380,1525000,0.25,0.13333333333333300,0.1130991310847430,1,0
5440,2250000,0.3333333333333330,0.2,0.1131458469587970,1,0
4460,2550000,0.25,0.13333333333333300,0.11431374381014700,1,0
5240,2000000,0.3333333333333330,0.2,0.11431374381014700,1,0
3380,1900000,0.25,0.2,0.1144538914323090,1,0
3370,1800000,0.25,0.2,0.11552835653555100,1,0
3341,1640000,0.3333333333333330,0.13333333333333300,0.11608894702419900,1,1
4360,2850000,0.3333333333333330,0.2,0.11664953751284700,1,0
5240,1724500,0.25,0.2,0.11678968513500900,1,0
4460,2200000,0.25,0.13333333333333300,0.11912547883770900,1,0
60,840000,0.3333333333333330,0.2,0.11912547883770900,0,0
60,860000,0.3333333333333330,0.2,0.11912547883770900,0,0
5410,889000,0.25,0.2,0.11935905820797900,0,0
60,615000,0.3333333333333330,0.26666666666666700,0.11940577408203300,0,0
60,645000,0.3333333333333330,0.2,0.11940577408203300,0,0
60,652000,0.3333333333333330,0.26666666666666700,0.11940577408203300,0,0
60,642000,0.3333333333333330,0.2,0.11940577408203300,0,0
60,668000,0.3333333333333330,0.2,0.11940577408203300,0,0
4180,1650000,0.3333333333333330,0.26666666666666700,0.11954592170419500,1,0
4180,1675000,0.3333333333333330,0.2,0.11954592170419500,1,0
4180,1650000,0.3333333333333330,0.26666666666666700,0.11954592170419500,1,0
60,640000,0.3333333333333330,0.2,0.12034009156311300,0,0
3600,2350000,0.3333333333333330,0.2,0.12090068205176100,1,0
3370,2595000,0.25,0.2,0.12155470428851700,1,1
4110,2234625,0.3333333333333330,0.2,0.12183499953284100,1,0
5600,1600000,0.3333333333333330,0.2,0.1224890217695970,1,0
4460,1900000,0.3333333333333330,0.2,0.12276931701392100,1,0
32,3000000,0.4166666666666670,0.26666666666666700,0.1248715313463520,1,0
5240,2150000,0.3333333333333330,0.2,0.12575913295337800,1,0
5100,13250000,0.4166666666666670,0.3333333333333330,0.12944968700364400,1,1
4360,2695000,0.3333333333333330,0.26666666666666700,0.12977669812202200,1,0
4350,1200000,0.25,0.2,0.13080444735121000,1,0
4350,1275000,0.25,0.2,0.13080444735121000,1,0
3240,2800000,0.3333333333333330,0.26666666666666700,0.13080444735121000,1,1
4350,2175000,0.3333333333333330,0.2,0.13122489021769600,1,1
4460,3155500,0.25,0.2,0.13337382042418000,1,0
60,640000,0.3333333333333330,0.13333333333333300,0.1340745585349900,0,1
60,755000,0.3333333333333330,0.13333333333333300,0.1340745585349900,1,1
32,2875000,0.3333333333333330,0.26666666666666700,0.1354293188825560,1,0
32,4050000,0.3333333333333330,0.2,0.13575633000093400,1,0
60,680000,0.3333333333333330,0.13333333333333300,0.1358497617490420,0,0
3212,3400000,0.25,0.2,0.13743810146687800,1,1
4220,2600000,0.3333333333333330,0.26666666666666700,0.13748481734093200,1,1
3260,3500000,0.3333333333333330,0.26666666666666700,0.14014762216201100,1,1
22,3009141,0.3333333333333330,0.3333333333333330,0.14019433803606500,1,0
4460,3000000,0.3333333333333330,0.2,0.1407082126506590,1,0
4360,2725000,0.3333333333333330,0.2,0.1408016443987670,1,0
3341,2325000,0.3333333333333330,0.13333333333333300,0.1423899841166030,1,1
5440,3200000,0.3333333333333330,0.3333333333333330,0.14664112865551700,1,0
4460,3181009,0.4166666666666670,0.26666666666666700,0.1471082873960570,1,0
3280,1900000,0.3333333333333330,0.26666666666666700,0.14729515089227300,1,0
4220,2500000,0.4166666666666670,0.26666666666666700,0.1487433429879470,1,0
4260,2500000,0.4166666666666670,0.3333333333333330,0.14949079697281100,1,0
4370,2947500,0.3333333333333330,0.3333333333333330,0.15037839857983700,1,0
4180,1679000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1690000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1690000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1695000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,2080000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1950000,0.4166666666666670,0.26666666666666700,0.15098570494253900,1,0
4220,2800000,0.3333333333333330,0.2,0.15173315892740400,1,1
5410,1199000,0.3333333333333330,0.26666666666666700,0.1522937494160520,1,1
4460,3300000,0.3333333333333330,0.26666666666666700,0.15243389703821400,1,0
4360,2100000,0.3333333333333330,0.2,0.15346164626740200,1,0
3222,3150000,0.3333333333333330,0.26666666666666700,0.1536017938895640,1,1
3260,3829304,0.3333333333333330,0.3333333333333330,0.15416238437821200,1,1
5440,3590000,0.3333333333333330,0.26666666666666700,0.15416238437821200,1,0
5440,5750000,0.3333333333333330,0.26666666666666700,0.15425581612632000,1,0
3170,7332000,0.3333333333333330,0.2,0.15430253200037400,1,1
4360,3800000,0.3333333333333330,0.2,0.15467625899280600,1,0
32,9250000,0.4166666666666670,0.4,0.1553769971036160,1,1
4180,2200000,0.3333333333333330,0.26666666666666700,0.15584415584415600,1,0
4180,2200000,0.3333333333333330,0.26666666666666700,0.15584415584415600,1,0
32,5000000,0.3333333333333330,0.2,0.1566383257030740,1,0
,4965000,0.25,0.2,0.15682518919929000,1,0
4360,2650000,0.3333333333333330,0.2,0.15682518919929000,1,0
4220,2650000,0.4166666666666670,0.26666666666666700,0.15743249556199200,1,0
4360,2600000,0.4166666666666670,0.3333333333333330,0.15817994954685600,1,0
4370,2445000,0.4166666666666670,0.26666666666666700,0.1591142670279360,1,0
3380,2200000,0.3333333333333330,0.26666666666666700,0.15995515276090800,1,0
32,5400000,0.3333333333333330,0.26666666666666700,0.16074932261982600,1,0
5440,6500000,0.3333333333333330,0.26666666666666700,0.16079603849388000,1,0
3280,2900000,0.4166666666666670,0.3333333333333330,0.16121648136036600,1,0
3280,5495000,0.3333333333333330,0.26666666666666700,0.16350555918901200,1,1
5001,10500000,0.3333333333333330,0.26666666666666700,0.16406614967766000,1,0
4360,2550000,0.3333333333333330,0.3333333333333330,0.1643464449219850,1,0
4360,2730000,0.3333333333333330,0.3333333333333330,0.1643464449219850,1,0
5002,12400000,0.3333333333333330,0.26666666666666700,0.16462674016630900,1,0
4460,2601775,0.3333333333333330,0.26666666666666700,0.16528076240306500,1,0
22,5000000,0.4166666666666670,0.3333333333333330,0.16528076240306500,1,1
5100,5244142,0.3333333333333330,0.2,0.1657012052695510,1,1
3222,5425000,0.25,0.2,0.16663552275063100,1,1
32,4900000,0.4166666666666670,0.3333333333333330,0.16850415771279100,1,0
5440,2990100,0.3333333333333330,0.26666666666666700,0.16911146407549300,1,0
3170,3537563,0.25,0.26666666666666700,0.16915817994954700,1,0
4170,5050000,0.3333333333333330,0.26666666666666700,0.16939175931981700,1,0
5440,3600000,0.4166666666666670,0.26666666666666700,0.1695786228160330,1,0
4360,4300000,0.4166666666666670,0.26666666666666700,0.170886667289545,1,0
4220,2799000,0.3333333333333330,0.26666666666666700,0.170980099037653,1,0
4220,2799000,0.3333333333333330,0.26666666666666700,0.170980099037653,1,0
5440,7025000,0.4166666666666670,0.3333333333333330,0.17144725777819300,1,0
5230,4000000,0.3333333333333330,0.26666666666666700,0.17205456414089500,1,1
32,1905000,0.3333333333333330,0.26666666666666700,0.1721947117630570,0,0
4220,2200000,0.3333333333333330,0.26666666666666700,0.1751378118284590,1,0
4220,2599000,0.3333333333333330,0.26666666666666700,0.1751378118284590,1,0
4220,2850000,0.3333333333333330,0.26666666666666700,0.1751378118284590,1,0
4220,2775000,0.3333333333333330,0.26666666666666700,0.1751378118284590,1,0
4220,2850000,0.3333333333333330,0.26666666666666700,0.1751378118284590,1,0
4260,3200000,0.3333333333333330,0.3333333333333330,0.17700644679061900,1,0
32,4775000,0.25,0.2,0.17714659441278100,1,0
5440,3150000,0.3333333333333330,0.3333333333333330,0.17789404839764600,1,0
22,4400000,0.5,0.4,0.1789217976268340,1,0
32,6300000,0.3333333333333330,0.26666666666666700,0.1791086611230500,1,0
32,3700000,0.4166666666666670,0.3333333333333330,0.18135102307764200,1,0
5002,13075000,0.3333333333333330,0.26666666666666700,0.18181818181818200,1,0
